[2026-07-06  9:25:02,18] Demarrage collecte tick OFI 

============================================================
TICK OFI COLLECTOR  (reqTickByTickData + Lee-Ready)
============================================================
Host/Port      : 192.168.0.103:7496
Client ID      : 98
Exchange       : ISLAND
Symbols ( 5)  : AAPL, MSFT, NVDA, AMZN, META
Tick rotation  : desactivee (5 <= 5)
Sample OFI     : toutes les 5.0s
Duration       : 395 min
Output OFI     : logs\tick_ofi\tick_ofi_20260706_092503.csv
Output ticks   : logs\tick_ofi\tick_raw_20260706_092503.csv
============================================================

[OK] Connecté à IB
[OK] L1 souscrit pour 5 symboles
[OK] Ticks actifs  : AAPL, MSFT, NVDA, AMZN, META
[INFO] Warmup 3s...

[RUN] OFI agrégé  : logs\tick_ofi\tick_ofi_20260706_092503.csv
[RUN] Ticks bruts : logs\tick_ofi\tick_raw_20260706_092503.csv

[RUN] 66.2min | ticks=207741 | grp1: AAPL ofi1m=+0.07 cnt=758 | MSFT ofi1m=+0.42 cnt=223 | NVDA ofi1m=+0.21 cnt=481
[RUN] 67.2min | ticks=209255 | grp1: AAPL ofi1m=+0.26 cnt=468 | MSFT ofi1m=+0.07 cnt=214 | NVDA ofi1m=-0.12 cnt=525
[RUN] 68.2min | ticks=211105 | grp1: AAPL ofi1m=-0.01 cnt=581 | MSFT ofi1m=+0.42 cnt=245 | NVDA ofi1m=-0.02 cnt=425
[RUN] 69.2min | ticks=213016 | grp1: AAPL ofi1m=+0.38 cnt=469 | MSFT ofi1m=+0.49 cnt=269 | NVDA ofi1m=+0.23 cnt=635
[RUN] 70.3min | ticks=215084 | grp1: AAPL ofi1m=-0.18 cnt=564 | MSFT ofi1m=+0.14 cnt=424 | NVDA ofi1m=-0.05 cnt=547
[RUN] 71.3min | ticks=216996 | grp1: AAPL ofi1m=+0.08 cnt=566 | MSFT ofi1m=+0.10 cnt=259 | NVDA ofi1m=-0.21 cnt=757
[RUN] 72.3min | ticks=218884 | grp1: AAPL ofi1m=-0.07 cnt=591 | MSFT ofi1m=+0.26 cnt=224 | NVDA ofi1m=-0.19 cnt=574
[RUN] 73.3min | ticks=220771 | grp1: AAPL ofi1m=+0.10 cnt=426 | MSFT ofi1m=-0.33 cnt=345 | NVDA ofi1m=+0.23 cnt=652
[RUN] 74.3min | ticks=222940 | grp1: AAPL ofi1m=-0.33 cnt=508 | MSFT ofi1m=+0.01 cnt=311 | NVDA ofi1m=+0.23 cnt=706
[RUN] 75.3min | ticks=224779 | grp1: AAPL ofi1m=-0.04 cnt=473 | MSFT ofi1m=+0.29 cnt=358 | NVDA ofi1m=-0.27 cnt=746
[RUN] 76.3min | ticks=226443 | grp1: AAPL ofi1m=-0.01 cnt=359 | MSFT ofi1m=+0.36 cnt=265 | NVDA ofi1m=-0.16 cnt=768
[RUN] 77.3min | ticks=228810 | grp1: AAPL ofi1m=+0.27 cnt=519 | MSFT ofi1m=+0.08 cnt=316 | NVDA ofi1m=-0.40 cnt=1129
[RUN] 78.3min | ticks=230909 | grp1: AAPL ofi1m=-0.17 cnt=589 | MSFT ofi1m=+0.17 cnt=362 | NVDA ofi1m=-0.11 cnt=817
[RUN] 79.3min | ticks=233071 | grp1: AAPL ofi1m=+0.11 cnt=410 | MSFT ofi1m=+0.41 cnt=373 | NVDA ofi1m=-0.21 cnt=927
[RUN] 80.3min | ticks=234650 | grp1: AAPL ofi1m=+0.26 cnt=343 | MSFT ofi1m=+0.24 cnt=246 | NVDA ofi1m=+0.34 cnt=681
[RUN] 81.3min | ticks=236268 | grp1: AAPL ofi1m=+0.37 cnt=336 | MSFT ofi1m=-0.37 cnt=200 | NVDA ofi1m=+0.22 cnt=844
[RUN] 82.3min | ticks=238518 | grp1: AAPL ofi1m=+0.50 cnt=1238 | MSFT ofi1m=+0.16 cnt=131 | NVDA ofi1m=+0.42 cnt=561
[RUN] 83.3min | ticks=239996 | grp1: AAPL ofi1m=+0.08 cnt=509 | MSFT ofi1m=-0.23 cnt=172 | NVDA ofi1m=+0.60 cnt=477
[RUN] 84.3min | ticks=241716 | grp1: AAPL ofi1m=+0.26 cnt=393 | MSFT ofi1m=+0.05 cnt=271 | NVDA ofi1m=+0.31 cnt=498
[RUN] 85.3min | ticks=243353 | grp1: AAPL ofi1m=+0.09 cnt=490 | MSFT ofi1m=-0.21 cnt=230 | NVDA ofi1m=-0.16 cnt=486
[RUN] 86.3min | ticks=245865 | grp1: AAPL ofi1m=+0.60 cnt=453 | MSFT ofi1m=+0.47 cnt=414 | NVDA ofi1m=-0.07 cnt=967
[RUN] 87.3min | ticks=247791 | grp1: AAPL ofi1m=-0.28 cnt=445 | MSFT ofi1m=-0.57 cnt=483 | NVDA ofi1m=+0.40 cnt=578
[RUN] 88.3min | ticks=249102 | grp1: AAPL ofi1m=-0.09 cnt=370 | MSFT ofi1m=-0.21 cnt=202 | NVDA ofi1m=-0.01 cnt=462
[RUN] 89.3min | ticks=250768 | grp1: AAPL ofi1m=+0.20 cnt=352 | MSFT ofi1m=+0.19 cnt=249 | NVDA ofi1m=+0.05 cnt=674
[RUN] 90.3min | ticks=252393 | grp1: AAPL ofi1m=+0.04 cnt=506 | MSFT ofi1m=-0.52 cnt=266 | NVDA ofi1m=+0.20 cnt=502
[RUN] 91.3min | ticks=254004 | grp1: AAPL ofi1m=+0.30 cnt=348 | MSFT ofi1m=+0.48 cnt=196 | NVDA ofi1m=+0.14 cnt=747
[RUN] 92.3min | ticks=255357 | grp1: AAPL ofi1m=-0.11 cnt=305 | MSFT ofi1m=-0.08 cnt=223 | NVDA ofi1m=-0.03 cnt=517
[RUN] 93.3min | ticks=256807 | grp1: AAPL ofi1m=+0.30 cnt=306 | MSFT ofi1m=-0.49 cnt=284 | NVDA ofi1m=-0.23 cnt=631
[RUN] 94.4min | ticks=258468 | grp1: AAPL ofi1m=+0.14 cnt=620 | MSFT ofi1m=+0.50 cnt=167 | NVDA ofi1m=-0.09 cnt=446
[RUN] 95.4min | ticks=259991 | grp1: AAPL ofi1m=-0.08 cnt=475 | MSFT ofi1m=+0.81 cnt=172 | NVDA ofi1m=-0.02 cnt=600
[RUN] 96.4min | ticks=261451 | grp1: AAPL ofi1m=+0.12 cnt=452 | MSFT ofi1m=+0.12 cnt=235 | NVDA ofi1m=-0.01 cnt=436
[RUN] 97.4min | ticks=262939 | grp1: AAPL ofi1m=+0.07 cnt=507 | MSFT ofi1m=+0.21 cnt=222 | NVDA ofi1m=-0.04 cnt=468
[RUN] 98.4min | ticks=264262 | grp1: AAPL ofi1m=-0.21 cnt=325 | MSFT ofi1m=+0.19 cnt=133 | NVDA ofi1m=-0.02 cnt=452
[RUN] 99.4min | ticks=265505 | grp1: AAPL ofi1m=+0.24 cnt=418 | MSFT ofi1m=+0.64 cnt=107 | NVDA ofi1m=+0.21 cnt=443
[RUN] 100.4min | ticks=266843 | grp1: AAPL ofi1m=+0.06 cnt=417 | MSFT ofi1m=+0.36 cnt=206 | NVDA ofi1m=-0.09 cnt=387
[RUN] 101.4min | ticks=268370 | grp1: AAPL ofi1m=+0.09 cnt=305 | MSFT ofi1m=-0.03 cnt=178 | NVDA ofi1m=-0.10 cnt=601
