[2026-07-08  9:25:01,92] Demarrage collecte tick OFI 

============================================================
TICK OFI COLLECTOR  (reqTickByTickData + Lee-Ready)
============================================================
Host/Port      : 192.168.0.103:7496
Client ID      : 98
Exchange       : ISLAND
Symbols ( 5)  : AAPL, MSFT, NVDA, AMZN, META
Tick rotation  : desactivee (5 <= 5)
Sample OFI     : toutes les 5.0s
Duration       : 395 min
Output OFI     : logs\tick_ofi\tick_ofi_20260708_092502.csv
Output ticks   : logs\tick_ofi\tick_raw_20260708_092502.csv
============================================================

[OK] Connecté à IB
[OK] L1 souscrit pour 5 symboles
[OK] Ticks actifs  : AAPL, MSFT, NVDA, AMZN, META
[INFO] Warmup 3s...

[RUN] OFI agrégé  : logs\tick_ofi\tick_ofi_20260708_092502.csv
[RUN] Ticks bruts : logs\tick_ofi\tick_raw_20260708_092502.csv

[RUN] 55.1min | ticks=153979 | grp1: AAPL ofi1m=+0.05 cnt=263 | MSFT ofi1m=-0.70 cnt=295 | NVDA ofi1m=-0.14 cnt=798
[RUN] 56.1min | ticks=156446 | grp1: AAPL ofi1m=+0.09 cnt=583 | MSFT ofi1m=+0.26 cnt=262 | NVDA ofi1m=+0.07 cnt=833
[RUN] 57.1min | ticks=158866 | grp1: AAPL ofi1m=+0.40 cnt=438 | MSFT ofi1m=+0.61 cnt=220 | NVDA ofi1m=-0.07 cnt=952
[RUN] 58.1min | ticks=160111 | grp1: AAPL ofi1m=+0.27 cnt=314 | MSFT ofi1m=+0.53 cnt=133 | NVDA ofi1m=-0.06 cnt=492
[RUN] 59.1min | ticks=161915 | grp1: AAPL ofi1m=+0.46 cnt=428 | MSFT ofi1m=-0.09 cnt=196 | NVDA ofi1m=+0.26 cnt=695
[RUN] 60.1min | ticks=163586 | grp1: AAPL ofi1m=+0.43 cnt=335 | MSFT ofi1m=-0.15 cnt=161 | NVDA ofi1m=+0.05 cnt=681
[RUN] 61.1min | ticks=165328 | grp1: AAPL ofi1m=+0.38 cnt=508 | MSFT ofi1m=+0.03 cnt=168 | NVDA ofi1m=+0.14 cnt=666
[RUN] 62.1min | ticks=168121 | grp1: AAPL ofi1m=+0.08 cnt=682 | MSFT ofi1m=-0.37 cnt=268 | NVDA ofi1m=-0.07 cnt=1289
[RUN] 63.1min | ticks=169816 | grp1: AAPL ofi1m=-0.06 cnt=359 | MSFT ofi1m=+0.66 cnt=123 | NVDA ofi1m=-0.21 cnt=717
[RUN] 64.1min | ticks=172135 | grp1: AAPL ofi1m=+0.36 cnt=729 | MSFT ofi1m=+0.43 cnt=323 | NVDA ofi1m=+0.23 cnt=554
[RUN] 65.1min | ticks=173634 | grp1: AAPL ofi1m=+0.01 cnt=404 | MSFT ofi1m=+0.09 cnt=199 | NVDA ofi1m=-0.09 cnt=590
[RUN] 66.1min | ticks=174851 | grp1: AAPL ofi1m=+0.13 cnt=279 | MSFT ofi1m=-0.20 cnt=159 | NVDA ofi1m=+0.04 cnt=481
[RUN] 67.1min | ticks=176060 | grp1: AAPL ofi1m=+0.18 cnt=237 | MSFT ofi1m=-0.03 cnt=149 | NVDA ofi1m=-0.27 cnt=518
[RUN] 68.1min | ticks=177192 | grp1: AAPL ofi1m=-0.02 cnt=171 | MSFT ofi1m=-0.23 cnt=195 | NVDA ofi1m=-0.24 cnt=548
[RUN] 69.1min | ticks=178882 | grp1: AAPL ofi1m=-0.15 cnt=321 | MSFT ofi1m=+0.53 cnt=132 | NVDA ofi1m=+0.26 cnt=811
[RUN] 70.1min | ticks=180452 | grp1: AAPL ofi1m=+0.28 cnt=316 | MSFT ofi1m=+0.64 cnt=106 | NVDA ofi1m=-0.01 cnt=824
[RUN] 71.1min | ticks=182489 | grp1: AAPL ofi1m=+0.17 cnt=345 | MSFT ofi1m=-0.38 cnt=260 | NVDA ofi1m=-0.22 cnt=841
[RUN] 72.1min | ticks=184584 | grp1: AAPL ofi1m=+0.28 cnt=561 | MSFT ofi1m=-0.09 cnt=252 | NVDA ofi1m=-0.01 cnt=769
[RUN] 73.1min | ticks=186480 | grp1: AAPL ofi1m=-0.12 cnt=397 | MSFT ofi1m=-0.35 cnt=166 | NVDA ofi1m=-0.02 cnt=659
[RUN] 74.1min | ticks=187895 | grp1: AAPL ofi1m=-0.10 cnt=206 | MSFT ofi1m=-0.07 cnt=265 | NVDA ofi1m=-0.30 cnt=715
[RUN] 75.1min | ticks=189570 | grp1: AAPL ofi1m=-0.18 cnt=350 | MSFT ofi1m=-0.34 cnt=270 | NVDA ofi1m=-0.01 cnt=604
[RUN] 76.1min | ticks=190961 | grp1: AAPL ofi1m=+0.32 cnt=421 | MSFT ofi1m=-0.10 cnt=115 | NVDA ofi1m=+0.03 cnt=453
